Number_of_Customers_Per_Day,Average_Order_Value,Operating_Hours_Per_Day,Number_of_Employees,Marketing_Spend_Per_Day,Location_Foot_Traffic,Daily_Revenue
264,3.29,8,11,448.59,228,1806.24
484,8.36,6,13,486.31,893,4263.37
428,7.33,8,11,431.07,623,3590.56
489,2.86,17,2,63.91,168,1372.58
260,5.2,8,5,474.24,518,1888.42
367,9.68,10,8,217.45,598,3531.49
81,6.25,16,10,14.56,695,289.41
207,5.75,17,4,226.77,504,1333.87
334,5.93,17,13,32.57,75,1563.46
354,4.07,9,12,276.5,539,1601.6
478,5.27,9,8,175.89,57,2437.66
335,5.27,14,8,241.98,565,2120.92
193,2.89,12,8,310.45,582,901.28
473,8.26,9,3,435.71,976,4080.23
68,5.62,8,7,334.33,198,889.45
67,8.67,11,3,222.68,537,892.99
306,8.88,8,7,411.52,74,2944.62
127,4.09,11,14,453.74,704,1226.94
420,7.43,16,11,68.68,806,2875.83
224,6.04,16,4,270.65,980,1505.11
243,9.1,17,3,149.41,994,2115.19
162,4.12,14,13,33.06,604,840.16
163,7.58,11,7,337.59,474,1525.29
271,7.06,17,3,432.76,342,2423.3
215,4.71,9,6,89.82,234,789.63
484,3.52,10,3,408.08,603,2368.49
368,7.39,11,4,428.16,480,2973.21
181,8.04,16,4,458.03,653,2076.82
434,4.87,8,7,139.99,366,2061.89
313,7.34,13,7,452.94,447,2824.85
462,5.46,9,11,167.12,373,2609.64
104,7.85,13,4,280.65,614,1126.8
408,3.99,15,4,34.75,645,1144.06
180,9.18,15,14,31.5,595,1752.61
337,4.66,8,13,362.98,125,1929.87
315,5.26,15,14,227.8,914,1906.51
415,2.94,12,2,135.58,969,1439.8
211,3.34,16,8,103.3,965,697.78
429,6.37,17,14,338.28,758,3070.3
136,4.51,14,9,10.2,535,417.8
104,8.77,9,3,404.89,847,1505.72
337,2.61,13,5,48.83,137,868.8
227,5.34,8,11,103.83,796,1162.21
440,5.03,12,8,199.26,281,2300.17
398,2.64,8,9,247.58,56,1105.98
57,3.43,17,2,183.95,853,513.69
370,5.6,12,5,167.15,599,2198.09
362,6.2,16,7,482.32,101,2812.57
296,5.53,15,4,324.37,704,2260.18
372,6.48,15,6,21.48,991,2182.73
492,6.96,16,11,220.79,968,3407.85
304,2.57,16,10,438.75,445,1127.22
377,5.98,11,12,157.71,270,2580.07
103,9.73,7,14,56.33,477,686.84
298,6.39,16,4,381.61,801,2331.93
288,7.58,8,6,306.95,192,2302.2
278,4.84,11,9,289.45,910,1657.61
116,8.3,9,7,36.25,412,659.28
100,8.3,11,5,78.84,431,1043.59
146,6.41,6,9,315.05,610,1123.81
141,9.82,15,12,111.83,326,1647.15
313,3.44,17,4,256.99,320,1169.01
467,2.63,6,4,276.99,63,1715.92
340,8.28,8,5,148.92,347,2590.87
145,8.55,13,10,474.73,513,1704.95
137,3.4,13,6,422.81,576,1053.07
127,4.49,16,9,363.96,283,889.56
337,2.63,9,7,48.22,624,694.53
169,4.7,11,4,62,757,640.6
351,8.3,13,9,251.46,76,3062.93
449,6.38,12,13,88.75,520,2711.19
214,5.11,16,10,489.35,142,1728.74
231,5.29,12,9,87.67,666,1166.37
447,2.51,9,14,248.86,358,1492.8
272,4.75,14,5,188.42,101,1655.44
360,7.35,17,14,323.3,368,2981.47
481,9.81,15,12,73.23,230,4314.8
56,8.85,11,7,220.86,618,533.17
379,2.68,17,2,144.61,169,735.65
312,9.24,16,5,445,869,3249.12
210,8.37,8,9,29.89,924,1228.13
200,8.35,10,2,457.73,92,2149.73
134,5.93,10,4,418.17,696,1622.94
196,5.49,10,2,155.81,934,971.46
161,4.77,13,10,396.75,987,1029.08
430,2.99,14,3,25.29,309,1322.45
452,4.21,14,10,483.76,246,1877.12
85,4.35,11,14,268.03,694,811.18
334,6.13,11,5,158.61,304,2374.29
237,8.11,14,3,187.67,781,1836.87
131,6.05,9,5,42.54,385,568.26
51,2.93,11,13,494.78,602,994.66
434,9.68,9,12,29.25,551,3590.73
352,9.57,16,12,330.9,949,3690.29
246,8.39,6,11,226.94,304,1980.09
453,9.93,12,7,474.97,563,5114.6
60,6.58,15,12,130.54,756,683.59
283,9.72,16,8,270.72,291,2889.37
435,3.07,17,4,246.35,198,1913.58
244,5.24,11,4,354.4,759,1888.61
168,4.19,14,13,43.33,348,772.25
445,3.97,12,11,104.96,806,1374.78
69,3.56,12,13,115.14,899,253.49
310,7.17,7,9,371.69,669,2775.05
342,8.36,17,6,102.68,502,2467.2
471,6.84,16,5,291.01,442,3182.85
305,3.6,14,8,115.47,261,956.99
271,8.58,15,8,432.2,717,2821.43
442,7.27,14,14,471.67,587,3792.23
275,5.41,11,10,264.06,643,1927.98
102,7.56,8,10,182.63,644,797.39
477,4.45,6,6,124.69,180,2175.15
404,5.09,9,14,34.39,378,1722.33
391,9.38,8,13,141.57,661,3471.07
413,4.68,17,14,330.58,305,2339.46
329,6.02,6,9,271.47,528,2402
130,9.18,8,11,472.58,610,1353.05
251,7.81,9,2,204.18,962,2090.28
207,2.97,13,10,349.99,112,1359.75
169,3.6,14,9,249.77,360,968.66
108,2.56,8,7,261.16,456,657.09
264,7.23,11,14,141.21,851,1817.06
177,5.86,15,4,232.93,154,1559.04
273,3.51,16,4,240.68,666,1120.07
258,9.68,10,9,356.25,886,2762.04
419,6.47,11,6,470.91,64,3052.16
164,4.31,9,11,171.37,736,914.85
258,6.25,15,12,30.68,308,1782.4
63,7.6,11,8,253.18,772,629.47
58,3.07,12,6,276.79,461,597.95
89,4.56,14,9,92.54,308,582.28
499,8.55,15,11,382.63,663,4251.28
286,5.95,12,11,492.62,309,2258.66
330,6.6,11,5,473.43,905,3040.61
408,5.75,6,3,106.58,720,1917.57
250,2.83,7,4,438.93,94,1210.9
295,3.74,6,9,355.2,862,1575.88
327,5.84,14,12,232.38,812,1992.09
284,4.07,15,14,274.9,380,2029.89
53,2.87,15,8,426.3,214,886.09
203,8.83,14,14,245.27,242,1772.27
491,9.86,12,3,192.87,570,4179.09
78,8.45,7,7,251.69,450,1038.78
158,8.9,11,10,293.77,423,1555.11
147,4.31,16,5,102.65,114,981.97
264,9.7,9,10,451.44,436,2926.91
342,3.98,6,3,340.35,544,1621.9
124,9.64,6,3,320.3,843,1439.22
375,9.96,17,10,58.75,742,3646.93
195,7.84,10,13,306.05,464,1918.11
177,9.86,17,8,69.27,843,2025.79
390,6.77,7,8,48.56,840,2406.09
91,4.45,9,2,268.38,79,939.48
405,5.78,6,14,207.36,315,2593.73
90,6.95,9,12,298.52,377,1145.49
471,3.05,16,7,53.72,541,1271.5
83,7.17,11,14,221.18,266,962.05
66,9.86,15,8,95.65,369,709.71
214,3.93,9,12,493.68,967,1472.73
202,8.44,6,7,284.96,448,1800.67
427,9.31,12,7,346.84,940,3674.03
125,9.58,7,3,169.45,154,1581.6
136,9.7,14,7,56.42,745,1358.22
166,6.41,8,5,488.18,379,1421.28
411,9.83,13,10,150.27,709,4005.06
391,8.18,13,13,217.67,666,3458.67
76,3.71,8,2,328.43,96,901.94
362,6.08,9,14,22.1,648,1835.69
336,7.89,7,9,407.03,870,2850.08
183,4.36,9,6,272.92,998,1017.9
268,7.3,16,2,146.33,690,2152.47
217,7.5,16,5,40.19,819,1620.83
147,3.72,16,2,89.62,363,1184.64
317,6.74,14,7,448.57,196,2267.6
286,8.29,7,3,346.15,511,2642.55
358,6.24,17,6,132.45,633,1823.65
443,2.59,17,8,42.14,535,1215.17
222,2.57,8,3,348.4,701,1249.46
450,5.18,16,7,290.48,459,2822.04
459,9.45,16,7,208.21,76,4253.81
239,4.22,9,6,188.17,78,807.32
171,7.26,10,6,116.24,320,1281.64
95,4.17,6,4,338.11,735,951.06
113,4.91,12,11,485.63,550,1026.76
179,8.86,15,11,96.1,302,1518.5
359,7.97,12,12,302.59,434,2773.58
412,3.22,14,13,217.85,109,1398.21
242,5.72,9,3,228.88,156,1771.63
356,2.72,11,8,134.53,269,1209.32
230,6.11,16,2,414.32,490,1607.21
341,7.47,7,7,247.78,820,2523.22
420,3.39,17,7,276.27,932,1707.24
331,4.67,17,4,159.33,707,1675.49
78,5.48,9,3,99.09,613,400.75
198,9.4,7,13,52.1,621,1848.52
316,9.95,15,3,359.92,595,3362.6
345,2.84,10,14,106.15,145,525.72
60,8.21,12,10,348.14,138,851.22
213,5.29,6,12,201.28,877,1195.97
162,5.44,15,6,213.73,971,1249.4
236,8.16,15,8,239.9,280,2232.25
344,9.39,12,13,190.18,324,2857.99
281,9.63,15,6,59.3,295,2612.07
276,6.83,11,8,161.72,160,1924.36
359,5.18,11,14,335.23,283,2201.79
147,8.41,17,5,336.23,327,1494.22
104,4.38,13,9,150.25,526,622.98
160,6.73,13,14,235.45,466,1552.36
201,5.19,11,12,104.79,727,1118.49
295,7.42,8,11,113.08,177,2131.14
455,4.3,10,14,21.29,286,1696.94
118,3.94,7,12,449.41,852,1302.99
361,9.39,10,11,113.25,668,2964.53
338,3.26,14,8,121.49,177,1013.53
299,6.29,15,11,147,756,1645.5
85,4.16,6,6,72.43,900,467.02
288,2.79,15,12,323.24,443,1443.98
197,2.77,10,7,46.82,524,495.59
276,3.81,17,6,75.76,704,846.16
293,9,11,8,325.93,444,3189.48
386,4.62,16,13,176.43,160,1959.89
495,9.63,12,3,356.89,139,4881
414,6.86,14,6,283.14,812,2942.71
250,5.77,11,11,135.45,329,1635.23
203,6.85,10,4,328.91,382,1797.23
499,6.38,17,10,66.97,273,2869.46
122,8.19,12,14,272.84,150,1245.76
250,4.62,6,7,224.2,181,1171.82
345,5.15,16,14,141.26,62,1582.05
66,9.21,10,11,305.96,506,946.68
178,9.6,7,4,436.95,490,2424.19
266,9.19,9,8,499.46,147,2742.44
110,5.65,12,5,307.8,169,1188.32
476,8.35,10,4,208.31,342,3729.82
153,6.07,17,9,120.35,865,659.04
91,6.23,11,14,135.98,760,823.53
74,4.04,7,5,244.93,50,962.21
88,6.93,8,12,189.97,621,662.66
340,3.9,12,2,457.77,299,1566.08
180,4.99,16,7,190.46,701,1185.05
278,8.91,7,11,192.99,198,2334.13
157,4.05,17,12,197.93,444,976.49
221,3.03,11,12,419.94,93,1462.87
484,3.02,10,2,328.89,932,1874.97
151,9.56,15,6,310.94,747,1927.57
403,6.3,6,8,173.73,669,2708.93
61,5.57,17,7,410.77,93,1119.94
324,8.58,16,3,28.8,127,2554.17
150,8.77,15,12,436.69,275,1994.8
93,4.99,16,5,261.25,211,842.42
492,7.7,9,12,205.14,842,3795.53
354,8.28,16,3,253.61,302,3628.77
494,7.41,7,12,337.03,181,3848.35
66,3.64,9,2,16.26,497,-58.95
379,9.07,6,4,437.06,933,3709.88
106,6.54,7,4,228.9,936,905.16
360,4.62,13,13,178.05,523,1711
352,5.69,11,8,77.74,705,2109.89
61,2.78,7,2,225.34,827,716.75
367,3.46,17,10,253.2,158,1501.51
129,8.24,11,12,207.79,755,989.97
265,2.5,15,7,342.54,84,1129.88
388,5.62,14,5,216.24,516,2178.19
313,6.42,12,4,481.09,951,2572.23
198,2.91,14,4,303.65,324,949.84
130,9.8,10,3,405.66,236,1998.36
264,4.2,12,3,63.58,998,1148.25
423,4.78,16,13,204.67,292,2018.71
247,4.78,12,14,175.06,313,1048.08
249,4.23,17,11,289.05,571,1371.92
74,2.51,17,6,431.95,727,806.2
138,7.97,8,10,48.39,590,1009.97
317,9.75,12,3,45.56,832,3005.08
192,4.18,6,3,426.66,136,1085.74
108,7.47,14,13,114.3,584,745.03
459,8.06,15,7,337.69,259,3846.7
414,8.86,11,14,276.01,95,3603.35
75,5.67,10,11,418.12,516,938.56
96,4.77,12,3,71.29,589,507.01
337,4.94,10,13,73.59,75,1745.88
315,7.84,15,5,282.84,315,2626.79
65,8.63,10,7,473.73,224,821.51
248,3.86,16,6,213.35,565,1061.02
450,5.28,15,2,170.2,360,2492.86
456,9.26,16,7,307.28,371,4413.76
331,8.55,12,2,465.92,628,3409.5
135,9.89,15,4,420.09,184,2052.01
299,8.16,12,11,497.79,104,2966.23
440,5.45,16,6,21.06,592,2242.42
319,6.93,8,11,65.3,635,1884.77
384,7.46,8,14,308.64,580,2606.22
166,3.09,15,6,412.08,205,796.25
56,6.58,17,14,149.77,898,415.92
186,7.82,8,11,127.21,717,1227.94
420,3.75,11,7,395.62,196,1952.34
225,8.35,17,13,37.63,534,1654.9
377,6.88,11,11,191,648,2808.45
364,9.64,8,9,257.85,69,3351.01
264,2.82,8,6,284.57,318,1125
131,4.49,13,12,367.02,382,995.95
272,7.01,13,2,183.87,604,1790.54
421,4.72,12,6,310.22,956,2108.2
472,7.86,15,4,296.83,993,3373.92
451,8.19,9,5,278.33,960,3891.49
492,3.27,9,14,323.84,450,2214.17
152,6.35,8,9,137.13,999,1020.88
322,6.32,10,8,51.48,355,1914.57
63,5.27,8,12,68.44,77,342.3
208,9.5,13,6,120.05,516,1794.46
201,8.71,12,3,255.1,309,2099.27
157,7.73,8,7,421.82,583,1788.79
237,7.86,14,12,353.63,936,1624.56
350,5.96,17,7,396.63,150,2265.42
147,9.41,10,11,181.98,600,1107.3
180,7.71,14,11,208.28,851,1872.52
342,7.97,12,12,202.9,402,2723.15
220,8.96,12,7,104.02,349,1978.25
473,4.56,11,10,40,731,1930.53
232,8.55,7,12,299.55,345,2455.1
413,3.96,14,9,494.72,402,2386.15
88,5.09,11,9,91.75,957,497.66
64,5.02,13,2,32.88,179,682.07
425,9.84,6,6,391.97,205,4388.82
53,8.92,10,8,133.77,123,334.11
398,7.76,17,7,416.53,391,3424.43
458,7.95,6,6,354.93,514,3912.87
446,6.72,15,9,473.38,139,3380.83
259,9.6,16,4,210.37,628,2471.02
210,6.22,13,7,334.37,504,2030.01
65,5.35,13,6,237.78,797,432.47
475,3.72,6,9,318.99,761,1516.04
157,8.4,14,5,230.3,381,1856.18
431,8.01,7,9,102.43,788,3015.51
499,5.38,17,11,258.87,397,2747.14
360,2.69,14,3,269.01,282,1199.59
276,8.79,6,10,407.2,827,3040.59
219,2.59,17,14,370.41,647,1353.08
83,7.78,15,10,335.26,151,825.58
463,9.78,14,11,65.56,530,4445.05
300,5.78,9,11,363.1,263,2372.93
296,4.26,14,14,255.15,157,1521.46
318,7.79,12,7,448.11,214,3088.17
190,8.63,16,5,460.74,652,2373.41
323,6.6,11,5,37.03,753,1923.68
465,9.75,10,14,412.11,384,4667.03
145,2.89,16,7,28.47,135,537.72
276,6.29,14,6,189.91,783,1521.6
428,7.89,7,7,275.73,924,3382.06
88,8.97,16,8,82.57,473,594.21
351,3.84,17,8,375.69,662,2061.31
78,8.5,7,10,14.09,787,544.72
495,6.65,16,9,92.61,413,3156.76
367,5.47,17,14,294.59,109,2204.94
294,3.49,14,7,360.05,531,1406.83
285,8.99,17,13,459.16,299,3036.87
234,3.68,8,7,355.69,609,1162.41
321,4.82,13,6,339.17,166,1861.56
489,4.68,16,2,203.23,788,2323.34
285,9.04,14,10,10.63,923,2250.06
288,7.55,13,10,68.88,964,2138.49
426,8.48,9,10,271.93,594,3569.73
315,4.38,17,12,340.81,93,2075.17
463,7.19,6,9,214.55,558,3443.69
458,6.79,9,14,368.03,214,3081.02
408,8.75,14,11,265.71,417,3721.74
389,9.3,7,14,46.35,906,3187.56
438,2.59,8,4,104.09,341,1204.25
114,7.56,15,2,421.6,898,1261.82
226,2.89,13,12,365.21,905,696.76
52,6.62,11,13,448.43,966,978.11
478,4.66,13,13,67.6,947,1819.25
191,4.8,12,9,495.21,848,1651.88
425,5.15,10,8,112.61,925,2173.75
207,7.16,14,14,15.77,786,1236.79
373,5.01,9,6,498.74,335,2795.07
195,8,11,11,147.73,253,1377.74
495,5.53,7,8,337.33,733,2844.74
342,3.01,7,11,96.57,573,847.19
202,8.38,7,5,294.31,868,2373.21
481,4.64,15,10,452.98,170,2958.57
242,5.75,12,12,166.89,994,1218.26
486,7.64,7,11,338.42,805,3684.25
122,4.99,17,3,102.07,713,542.68
448,2.92,7,10,316.15,713,1541.42
354,5.3,14,10,174.86,237,1742.31
426,9.58,12,6,113.49,956,3722.06
393,7.31,16,12,163.46,62,3031.71
189,7.54,8,2,97.63,652,1818.38
236,7.24,8,8,451.94,249,1906.81
342,3.99,12,11,204.62,635,1326.83
110,5.64,10,11,130.19,817,796.36
476,8.13,15,5,229.72,505,3511.41
429,3.26,11,10,167.06,497,1557.16
247,4.58,17,7,374.77,837,1688.31
344,4.57,13,14,485.9,889,2283.85
489,5.74,14,4,224.64,890,2965.56
368,9.85,6,7,431.91,120,3803.14
351,3.01,8,14,287.27,639,1345.43
393,6.39,16,11,87.05,845,2154.81
60,3.85,12,7,348.41,179,823.38
111,9.78,11,6,261.58,938,1690.06
382,3.35,12,3,328.8,92,1737.37
275,5.53,13,11,445.95,569,1898.6
202,8.03,11,11,225.81,62,1997.53
248,7.78,8,3,451.58,774,2887
101,5.67,7,8,377.83,672,1130.78
309,5.1,17,3,249.42,852,1903.33
108,5.48,12,13,305.58,584,1126.57
121,4.48,17,7,169.53,351,421.28
197,4.04,17,6,491.96,815,1372.01
398,6.12,17,5,337,576,2594.91
112,4.51,16,8,31.48,691,668.8
359,4.66,6,9,170.04,622,1904.38
422,7.43,8,5,315.42,164,3270.9
292,9.76,17,2,37.6,509,2506.55
415,7.03,16,2,21.7,881,2320.94
379,3.08,9,2,230.51,554,1393.27
156,3.07,6,12,173.02,357,499.64
275,9.64,10,2,224.77,981,2507.35
362,4.73,15,6,138.72,374,1934.37
267,3.19,8,5,90.71,628,1067.01
474,6.99,7,14,347.68,810,3405.74
290,7.18,8,10,262.14,224,1953.38
308,7.36,13,4,108.08,900,2037.15
425,4.51,11,8,166.6,563,2173.63
311,2.61,12,12,299.99,221,1274.07
54,9.74,17,9,45.39,551,447.09
310,4.38,11,7,82.25,383,1357.15
103,7.57,11,13,45.89,333,355.61
96,7.8,17,14,408.04,524,855.88
264,7.08,8,11,378.68,103,2645.65
226,4.85,17,14,379.12,507,1656.48
58,4.53,13,2,361,628,778.3
148,6.98,17,9,338,469,1357.34
69,9,12,11,243.73,663,572.13
427,9.6,12,4,324.72,681,4375
290,3.29,11,9,28.8,752,674.51
110,3.66,10,13,314.52,458,974.96
428,9.59,15,5,391.16,353,4307.21
468,8.02,13,9,255.18,984,3750.38
227,9.12,10,12,185.18,608,1880.51
387,4.02,14,2,145.94,271,1361.27
111,6.91,14,4,324.97,582,1255.75
194,7.76,6,7,349.47,207,1894.94
265,7.6,11,10,436.77,397,2477.19
52,5.56,12,3,177.74,208,584.03
209,2.62,8,12,387.19,938,686.26
276,6.87,12,2,285.06,933,2337.13
318,4.4,16,11,442.59,971,1851.99
169,5.88,16,4,268.63,284,1531.22
430,9.68,12,5,263.64,711,3739.96
138,5.49,16,12,293.16,454,1235.4
378,8.8,7,6,377.16,306,3671.42
117,3.91,12,4,482.7,726,838.55
447,7.54,6,14,46.05,638,2974.57
406,9.83,10,11,36.18,646,3434.25
147,3.26,14,12,469.4,607,1308.04
316,2.56,12,3,269.64,954,1194.3
154,5.75,12,3,311.3,962,1583.67
489,3.19,16,8,246.39,96,1814.09
372,8.11,17,10,55.89,262,2945.51
172,9.36,7,11,386.36,528,2262.87
78,5.76,13,3,376.14,536,1079.45
186,4.44,8,8,162.73,620,910.51
244,5.76,13,8,160.06,615,1390.93
458,7.93,8,12,420.54,391,3883.61
275,2.57,15,8,45.46,573,863.58
381,6.92,12,4,441.74,753,2882.26
219,7.1,7,13,135.76,552,1733.48
58,7.28,9,8,300.56,55,895.38
89,4.32,16,2,468.64,870,798.33
74,7.86,11,11,342.28,193,1157.6
310,3.19,16,2,213.07,907,1238
444,3.99,14,6,347.87,310,2006.1
492,9.08,10,3,178.55,634,4313.93
275,8.04,14,10,145.86,735,2106.36
173,2.6,10,8,498.37,281,1201.91
87,4.36,15,5,377.89,319,874.63
377,4.11,13,5,325.91,989,1577.4
300,4.53,6,3,184.09,496,1471.63
438,4.36,12,6,34.09,923,1681.31
225,2.97,9,5,25.22,271,766.37
139,5.94,10,13,281.55,101,1341.37
451,8,11,14,383.4,165,3720.5
86,7.05,10,2,273.32,587,797.77
365,7.55,17,13,421.98,614,2777.11
225,3.11,6,9,26.38,926,506.54
333,9.64,17,4,189.71,590,3109.02
130,8.79,14,7,126.16,68,949.82
163,8.54,7,5,229.16,864,1775.19
89,8.67,14,10,45.46,441,815.09
350,9.5,15,8,477.52,840,3684.7
273,6.58,7,10,119.4,678,1792.47
367,4,14,11,461.93,667,2075.3
398,7.13,11,4,218.69,468,3008.62
164,8.07,16,2,492.91,358,2092.3
235,8.03,14,6,281.49,788,2058.75
372,6.41,11,4,466.11,913,2816.85
105,3.01,11,7,12.62,235,337.97
89,5.28,16,9,376.64,310,951.34
403,9.41,7,12,452.49,577,4266.21
89,6.88,13,14,78.46,322,914.24
