시도,시군구,기관유형,상위 보건기관명,보건기관명,주소,읍면동명,도서지역 여부,대표 전화번호
서울특별시,종로구,보건소,종로구보건소,종로구보건소,"서울특별시 종로구 자하문로19길 36 (옥인동, 종로구보건소, 청운효자동자치회관) 1~4층",청운효자동,아니오,02-2148-3514
서울특별시,중구,보건소,서울중구보건소,서울중구보건소,"서울특별시 중구 다산로39길 16 (무학동, 중구보건소) ",신당동,아니오,02-3396-6302
서울특별시,중구,일반보건지소,서울중구보건소,약수보건지소 ,"서울특별시 중구 다산로 92 (신당동, 약수동주민센터) 약수동주민센터",신당동,아니오,02-3396-6964
서울특별시,중구,일반보건지소,서울중구보건소,황학보건지소 ,"서울특별시 중구 난계로11길 52 (황학동, 황학동주민센터) 황학동주민센터",황학동,아니오,02-3396-6989
서울특별시,중구,일반보건지소,서울중구보건소,다산보건지소 ,"서울특별시 중구 동호로15길 50 (신당동, 동사무소어린이집) ",신당동,아니오,02-3396-6959
서울특별시,용산구,보건소,용산구보건소,용산구보건소,"서울특별시 용산구 녹사평대로 150 (이태원동, 용산구종합행정타운) ",이태원동,아니오,02-2199-8350
서울특별시,성동구,보건소,성동구보건소,성동구보건소,"서울특별시 성동구 마장로23길 10 (홍익동, 성동구보건소) ",왕십리도선동,아니오,02-2286-7115
서울특별시,성동구,일반보건지소,성동구보건소,성수보건지소,"서울특별시 성동구 왕십리로5길 3 (성수동1가, 성수1가제2동 공공복합청사) ",성수1가2동,아니오,02-2286-7822
서울특별시,광진구,보건소,광진구보건소,광진구보건소,"서울특별시 광진구 자양로 117 (자양동, 광진구청), 보건소 보건소",자양동,아니오,02-450-1422
서울특별시,광진구,일반보건지소,광진구보건소,중곡보건지소,"서울특별시 광진구 긴고랑로 110 (중곡동, 중곡종합건강센터) 중곡보건지소",중곡동,아니오,02-450-1424
서울특별시,광진구,일반보건지소,광진구보건소,자양보건지소 ,"서울특별시 광진구 아차산로24길 17 (자양동, 자양공공힐링센터) 2층(자양보건지소)",자양동,아니오,02-450-7011
서울특별시,동대문구,보건소,동대문구보건소,동대문구보건소,"서울특별시 동대문구 천호대로 145 (용두동, 동대문구청) 보건소",용두동,아니오,02-2127-5404
서울특별시,중랑구,보건소,중랑구보건소,중랑구보건소,"서울특별시 중랑구 봉화산로 179 (신내동, 중랑구청) 중랑구 보건소",신내제2동,아니오,02-2094-0114
서울특별시,중랑구,일반보건지소,중랑구보건소,상봉보건지소,"서울특별시 중랑구 동일로114길 10 (상봉동, 상봉2동 복합청사) 상봉보건지소",상봉제2동,아니오,02-2094-0500
서울특별시,성북구,보건소,성북구보건소,성북구보건소,"서울특별시 성북구 화랑로 63 (하월곡동, 성북구보건소) 성북구보건소",하월곡동,아니오,02-2241-1749
서울특별시,성북구,일반보건지소,성북구보건소,동선도시보건지소,"서울특별시 성북구 아리랑로3길 8 (동소문동6가, 성북구보건지소 ,동선보건지소) ",동소문동6가,아니오,02-2241-6216
서울특별시,성북구,일반보건지소,성북구보건소,정릉보건지소,"서울특별시 성북구 보국문로4길 8 (정릉동, 대진빌딩) ",정릉동,아니오,02-2241-5990
서울특별시,성북구,일반보건지소,성북구보건소,장위석관보건지소,"서울특별시 성북구 한천로 568 (석관동, 장위석관보건지소) ",석관동,아니오,02-2241-6255
서울특별시,강북구,보건소,강북구보건소,강북구보건소,"서울특별시 강북구 한천로 897 (번동, 강북보건소,번2동 주민센터) 강북구보건소",번2동,아니오,02-901-7612
서울특별시,도봉구,보건소,도봉구보건소,도봉구보건소,"서울특별시 도봉구 방학로3길 117 (쌍문동, 도봉보건소, 쌍문2동주민센터) 도봉구 보건소",쌍문동,아니오,02-2091-4600
서울특별시,도봉구,일반보건지소,도봉구보건소,창동보건지소,"서울특별시 도봉구 덕릉로59길 73-3 (창동, 창2동주민센터(창동보건지소)) 창동 보건지소",창동,아니오,02-2091-5452
서울특별시,노원구,보건소,노원구보건소,노원구보건소,"서울특별시 노원구 노해로 437 (상계동, 노원구청), 보건소 노원구보건소",상계동,아니오,02-2116-3115
서울특별시,노원구,일반보건지소,노원구보건소,월계보건지소,"서울특별시 노원구 월계로 378 (월계동, 월계보건지소) ",월계동,아니오,02-2116-2987
서울특별시,노원구,일반보건지소,노원구보건소,마들보건지소,"서울특별시 노원구 수락산로 212-20 (상계동, 마들보건지소) ",상계동,아니오,02-2116-4972
서울특별시,노원구,일반보건지소,노원구보건소,상계보건지소 ,"서울특별시 노원구 상계로 118 (상계동, 상계2동주민센터) 3층",상계동,아니오,02-2116-4989
서울특별시,노원구,일반보건지소,노원구보건소,공릉보건지소 ,"서울특별시 노원구 공릉로 166-1 (공릉동, 공릉보건지소) ",공릉동,아니오,02-2116-4972
서울특별시,은평구,보건소,은평구보건소,은평구보건소,"서울특별시 은평구 은평로 195 (녹번동, 은평구청), 은평구보건소 (녹번동)",녹번동,아니오,02-351-8153
서울특별시,은평구,일반보건지소,은평구보건소,구산보건지소,"서울특별시 은평구 연서로13길 29-7 (구산동, 구산보건지소) (구산동)",구산동,아니오,02-351-8703
서울특별시,은평구,일반보건지소,은평구보건소,응암보건지소,"서울특별시 은평구 가좌로 195 (응암동, 응암보건지소) 응암동",응암동,아니오,02-351-8732
서울특별시,서대문구,보건소,서대문구보건소,서대문구보건소,"서울특별시 서대문구 연희로 242 (연희동, 서대문구보건소), 서대문구청별관 ",연희동,아니오,02-330-1899
서울특별시,서대문구,일반보건지소,서대문구보건소,가좌보건지소,"서울특별시 서대문구 수색로 100-55 (북가좌동, 북가좌1동주민센터) 3층",북가좌동,아니오,02-3140-8357
서울특별시,마포구,보건소,마포구보건소,마포구보건소,"서울특별시 마포구 월드컵로 212 (성산동, 마포구청), 마포구보건소 마포구보건소",성산동,아니오,02-3153-9114
서울특별시,마포구,일반보건지소,마포구보건소,서강보건지소,"서울특별시 마포구 독막로 165 (창전동, 서강동주민센터) 3층 서강보건지소",서강동,아니오,02-3153-9842
서울특별시,마포구,일반보건지소,마포구보건소,아현보건지소,"서울특별시 마포구 마포대로11길 44-81 (아현동, 아현문화건강센터) 2층 아현보건지소",아현동,아니오,02-3153-9882
서울특별시,양천구,보건소,양천구보건소,양천구보건소,"서울특별시 양천구 목동서로 339 (신정동, 양천보건소) 양천구보건소",신정동,아니오,02-2620-4340
서울특별시,양천구,일반보건지소,양천구보건소,목동보건지소,"서울특별시 양천구 목동중앙본로7가길 11 (목동, 목동보건지소) 목동보건지소",목동,아니오,02-2084-5251
서울특별시,양천구,건강생활지원센터,양천구보건소,양천모자건강증진센터,서울특별시 양천구 남부순환로83길 54 (신월동) 2층,신월6동,아니오,02-2084-5491
서울특별시,양천구,일반보건지소,양천구보건소,양천구보건지소,서울특별시 양천구 남부순환로 407 (신월동) 신월보건지소,신월동,아니오,02-2620-4751
서울특별시,강서구,보건소,강서구보건소,강서구보건소,"서울특별시 강서구 공항대로 561 (염창동, 강서보건소) 강서구보건소",염창동,아니오,02-2600-5800
서울특별시,강서구,일반보건지소,강서구보건소,방화보건지소 ,"서울특별시 강서구 금낭화로 162 (방화동, 방화 메이빌 아파트) 1층",방화3동,아니오,02-2600-5922
서울특별시,구로구,보건소,구로구보건소,구로구보건소,"서울특별시 구로구 구로중앙로28길 66 (구로동, 구로5동 주민센터, 구로구보건소) ",구로동,아니오,02-860-2600
서울특별시,구로구,일반보건지소,구로구보건소,오류보건지소,서울특별시 구로구 오리로10길 44-3 (오류동) ,오류동,아니오,02-860-8160
서울특별시,구로구,일반보건지소,구로구보건소,G밸리보건지소,"서울특별시 구로구 디지털로 243 (구로동, 지하이시티) ",구로동,아니오,02-860-8171
서울특별시,금천구,보건소,금천구보건소,금천구보건소,"서울특별시 금천구 시흥대로73길 70 (시흥동, 금천구청종합청사), 금천구보건소 금천구보건소",시흥동,아니오,02-2627-2422
서울특별시,금천구,일반보건지소,금천구보건소,박미보건지소,"서울특별시 금천구 시흥대로12길 10-5 (시흥동, 남부도로사업소 청사) 동네방네마을이음센터 2층",시흥동,아니오,02-2627-2791
서울특별시,영등포구,보건소,영등포구보건소,영등포구보건소,"서울특별시 영등포구 당산로 123 (당산동3가, 영등포구청) 영등포구보건소",당산동3가,아니오,02-2670-3114
서울특별시,동작구,보건소,동작구보건소,동작구보건소,"서울특별시 동작구 장승배기로10길 42 (상도동, 동작문화복지센타) 동작구보건소",상도동,아니오,02-820-1439
서울특별시,동작구,일반보건지소,동작구보건소,동작보건지소,"서울특별시 동작구 상도로 34 (대방동, 산맥빌딩) 동작구보건지소",대방동,아니오,02-820-3107
서울특별시,관악구,보건소,관악구보건소,관악구보건소,"서울특별시 관악구 관악로 145 (봉천동, 관악구청), 2동 관악구보건소",봉천동,아니오,02-879-7010
서울특별시,관악구,일반보건지소,관악구보건소,관악구보건지소 ,"서울특별시 관악구 봉천로 279-7 (봉천동, 관악구보건지소) 관악구보건지소",봉천동,아니오,02-879-7403
서울특별시,서초구,보건소,서초구보건소,서초구보건소,"서울특별시 서초구 남부순환로 2584 (서초동, 서초구청, 서초구의회), 보건소 서초구 보건소",서초2동,아니오,02-2155-8114
서울특별시,서초구,일반보건지소,서초구보건소,서초방배지소,"서울특별시 서초구 방배로 173 (방배동, 방배열린문화센터(방배4동주민센터)), 방배열린문화센터 방배보건지소",방배4동,아니오,02-2155-8160
서울특별시,서초구,일반보건지소,서초구보건소,서초보건지소,"서울특별시 서초구 서초대로38길 12 (서초동, 마제스타시티, 힐스테이트 서리풀), 타워 원 서초보건지소",서초3동,아니오,02-2155-8264
서울특별시,강남구,보건소,강남구보건소,강남구보건소,"서울특별시 강남구 선릉로 668 (삼성동, 강남구 보건소) ",삼성2동,아니오,02-3423-7200
서울특별시,송파구,보건소,송파구보건소,송파구보건소,"서울특별시 송파구 올림픽로 326 (신천동, 송파구청), 보건소 보건소",신천동,아니오,02-2147-2356
서울특별시,송파구,일반보건지소,송파구보건소,송파구보건지소,"서울특별시 송파구 양산로 5 (거여동, 송파구 보건지소) 보건지소",거여동,아니오,02-2147-4855
서울특별시,강동구,보건소,강동구보건소,강동구보건소,"서울특별시 강동구 성내로 45 (성내동, 강동구보건소) .",성내동,아니오,02-3425-6600
서울특별시,강동구,일반보건지소,강동구보건소,강일보건지소,"서울특별시 강동구 아리수로93길 9-14 (강일동, 강일동복합청사) 1층, 2층",강일동,아니오,02-3425-6878
서울특별시,강동구,일반보건지소,강동구보건소,천호보건지소,"서울특별시 강동구 구천면로 297-5 (천호동, 이연아마빌레) 1층, 2층",천호동,아니오,02-3425-7940
부산광역시,중구,보건소,부산중구보건소,부산중구보건소,"부산광역시 중구 중구로 120 (대청동1가, 중구청) 중구보건소",대청동1가,아니오,051-600-4741
부산광역시,중구,건강생활지원센터,부산중구보건소,중구건강생활지원센터,"부산광역시 중구 흑교로 48 (보수동1가, 중구복합건강센터)  ",보수동1가,아니오,051-600-4721
부산광역시,서구,보건소,부산서구보건소,부산서구보건소,"부산광역시 서구 부용로 30 (부용동2가, 서구보건소 부민노인복지관) 서구보건소",부민동,아니오,051-242-4000
부산광역시,동구,보건소,부산동구보건소,부산동구보건소,"부산광역시 동구 구청로 1 (수정동, 동구청), 보건소 보건소",수정동,아니오,051-440-6500
부산광역시,동구,건강생활지원센터,부산동구보건소,행복동구건강생활지원센터,"부산광역시 동구 안창로 90 (범일동, 루미네수녀 기념관) 행복동구건강생활지원센터",범일동,아니오,051-440-6391
부산광역시,영도구,보건소,영도구보건소,영도구보건소,"부산광역시 영도구 태종로 423 (청학동, 영도구청), 보건소동 영도구 보건소",청학2동,아니오,051-416-4000
부산광역시,부산진구,보건소,부산진구보건소,부산진구보건소,"부산광역시 부산진구 황령대로8번길 36 (범천동, 부산진보건소) 부산진구보건소",범천동,아니오,051-645-4000
부산광역시,부산진구,건강생활지원센터,부산진구보건소,당감건강생활지원센터,부산광역시 부산진구 백양순환로 40 (당감동) 당감건강생활지원센터,당감4동 주민센터,아니오,051-605-6113
부산광역시,부산진구,건강생활지원센터,부산진구보건소,개금2동건강생활지원센터,"부산광역시 부산진구 복지로 93 (개금동, 개금2동주민센터) 개금2동건강생활지원센터",개금2동,아니오,051-605-6693
부산광역시,부산진구,건강생활지원센터,부산진구보건소,개금3동건강생활지원센터,"부산광역시 부산진구 개금본동로 88 (개금동, 개금3동주민센터) 개금3동건강생활지원센터",개금3동,아니오,051-605-6551
부산광역시,동래구,보건소,동래구보건소,동래구보건소,"부산광역시 동래구 명륜로187번길 56 (명륜동, 동래구보건소) 동래구보건소",명륜동,아니오,051-555-4000
부산광역시,동래구,건강생활지원센터,동래구보건소,동래구건강생활지원센터 ,"부산광역시 동래구 명장로 32 (명장동, 명장제1동주민센터) 2층 건강생활지원센터",명장1동,아니오,051-550-1992
부산광역시,남구,보건소,부산남구보건소,부산남구보건소,"부산광역시 남구 못골로 23 (대연동, 남구보건소) 남구보건소",대연동,아니오,051-607-6400
부산광역시,남구,건강생활지원센터,부산남구보건소,문현1동건강생활지원센터,"부산광역시 남구 고동골로60번길 1 (문현동, 문현1동주민센터) 문현1동건강생활지원센터",문현동,아니오,051-607-6912
부산광역시,남구,건강생활지원센터,부산남구보건소,문현2동건강생활지원센터,"부산광역시 남구 전포대로92번길 31-7 (문현동, 문현2동주민센터) 문현2동건강생활지원센터",문현동,아니오,051-607-6931
부산광역시,남구,건강생활지원센터,부산남구보건소,용호3동건강생활지원센터,"부산광역시 남구 동명로164번길 40 (용호동, 고성전기철물) 용호3동 건강생활지원센터",용호동,아니오,051-607-6771
부산광역시,북구,보건소,부산북구보건소,부산북구보건소,"부산광역시 북구 금곡대로 348 (화명동, 북구보건소), 북구보건소 북구보건소",화명2동,아니오,051-309-4500
부산광역시,북구,일반보건지소,부산북구보건소,북구보건소덕천지소,"부산광역시 북구 만덕대로89번길 9 (덕천동, 북구보건소 덕천지소) 덕천지소",덕천동,아니오,051-309-7072
부산광역시,해운대구,보건소,해운대구보건소,해운대구보건소,"부산광역시 해운대구 양운로37번길 59 (좌동, 해운대구보건소) ",좌동,아니오,051-746-4000
부산광역시,해운대구,일반보건지소,해운대구보건소,반송보건지소,"부산광역시 해운대구 반송로 853 (반송동, 반송보건지소) ",반송동,아니오,051-544-4000
부산광역시,해운대구,일반보건지소,해운대구보건소,재반보건지소,"부산광역시 해운대구 해운대로61번길 28 (재송동, 재반보건지소) ",재송동,아니오,051-749-6532
부산광역시,사하구,보건소,사하구보건소,사하구보건소,"부산광역시 사하구 하신중앙로 185 (신평동, 사하구 제2청사, 신평2동행정복지센터) 사하구보건소",신평동,아니오,051-220-5701
부산광역시,사하구,건강생활지원센터,사하구보건소,다대건강생활지원센터,부산광역시 사하구 다대로530번길 7 (다대동) 다대건강생활지원센터,다대동,아니오,051-220-5722
부산광역시,사하구,건강생활지원센터,사하구보건소,장림1동건강생활지원센터,"부산광역시 사하구 장림로161번길 2 (장림동, 장림1동행정복지센터) 보림행복센터",장림1동,아니오,051-262-9485
부산광역시,금정구,보건소,금정구보건소,금정구보건소,"부산광역시 금정구 중앙대로 1777 (부곡동, 금정구청), 보건소 보건소",부곡동,아니오,051-519-5051
부산광역시,금정구,건강생활지원센터,금정구보건소,금정구 건강생활지원센터,"부산광역시 금정구 서동로175번길 41-5 (서동, 건강생활지원센터) ",서동,아니오,051-519-5478
부산광역시,금정구,건강생활지원센터,금정구보건소,장전2동건강생활지원센터,부산광역시 금정구 금정로 29-6 (장전동) ,장전동,아니오,051-519-5454
부산광역시,강서구,보건소,부산강서구보건소,부산강서구보건소,"부산광역시 강서구 공항로811번길 10 (대저2동, 강서브라이트센터) 보건소",대저2동,아니오,051-970-3415
부산광역시,강서구,일반보건지소,부산강서구보건소,강서구강동보건지소,"부산광역시 강서구 낙동북로102번길 76 (강동동, 강동보건지소), 강동보건지소 강동보건지소",강동동,아니오,051-970-4795
부산광역시,강서구,일반보건지소,부산강서구보건소,녹산보건지소,부산광역시 강서구 생곡로 17 (녹산동) 녹산보건지소,녹산,아니오,051-970-4796
부산광역시,강서구,일반보건지소,부산강서구보건소,가덕도보건지소,"부산광역시 강서구 성북1길 70-1 (성북동, 가덕도보건지소), 가덕도보건지소 가덕도보건지소",성북동,아니오,051-970-4797
부산광역시,강서구,일반보건지소,부산강서구보건소,가락보건지소,"부산광역시 강서구 가락대로 1476 (죽림동, 가락동 행정복지센터) 가락보건지소",죽림동,아니오,051-970-4798
부산광역시,강서구,보건진료소,부산강서구보건소,대항보건진료소,"부산광역시 강서구 가덕해안로1208번가길 9 (대항동, 대항보건진료소) 대항보건진료소",대항동,아니오,051-972-7335
부산광역시,강서구,보건진료소,부산강서구보건소,지사보건진료소,"부산광역시 강서구 과학산단2로20번길 5 (지사동, 지사문화회관) 지사보건진료소",지사동,아니오,051-970-2980
부산광역시,강서구,보건진료소,부산강서구보건소,천성보건진료소,"부산광역시 강서구 가덕해안로821번길 100 (천성동, 천성보건진료소) 천성보건진료소",천성동,아니오,051-971-7623
부산광역시,연제구,보건소,연제구보건소,연제구보건소,"부산광역시 연제구 연제로 2 (연산동, 연제구청), 연제구 보건소 연제구보건소",연산동,아니오,051-665-4781
부산광역시,수영구,보건소,수영구보건소,수영구보건소,"부산광역시 수영구 수영로 637-5 (광안동, 수영구 보건소), 본관 수영구보건소",광안동,아니오,051-610-5600
부산광역시,사상구,보건소,사상구보건소,사상구보건소,"부산광역시 사상구 학감대로 242 (감전동, 사상구청) 사상구보건소",감전동,아니오,051-310-4791
부산광역시,기장군,보건소,기장군보건소,기장군보건소,부산광역시 기장군 기장읍 기장대로 560 (기장군청) 기장군 보건소,기장읍,아니오,051-709-4796
부산광역시,기장군,일반보건지소,기장군보건소,장안보건지소,부산광역시 기장군 장안읍 좌방길 6 (장안보건지소) ,장안읍,아니오,051-727-4948
부산광역시,기장군,일반보건지소,기장군보건소,정관보건지소,부산광역시 기장군 정관읍 용수로 11 (정관보건지소) ,정관읍,아니오,051-709-2937
부산광역시,기장군,일반보건지소,기장군보건소,철마보건지소,부산광역시 기장군 철마면 개좌로 822 (철마복지회관) 1층 철마보건지소,철마면,아니오,051-709-5345
부산광역시,기장군,보건진료소,기장군보건소,오리보건진료소,부산광역시 기장군 장안읍 좌천4길 30 30 오리보건진료소,장안읍,아니오,051-709-5342
부산광역시,기장군,보건진료소,기장군보건소,삼동보건진료소,부산광역시 기장군 철마면 철마삼동로 94 삼동보건진료소,철마면,아니오,051-721-9042