지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi)
108,서울,2022-01-01,-4.3,-10.2,710,2.3,1544
108,서울,2022-01-02,-1.3,-5.2,2356,3,1551
108,서울,2022-01-03,-1.9,-8,714,2.5,1542
108,서울,2022-01-04,-2.5,-5.6,2400,1,1445
108,서울,2022-01-05,-2.8,-7.8,634,1.9,1518
108,서울,2022-01-06,-2.2,-5.9,745,3.3,1604
108,서울,2022-01-07,-1.6,-5.9,634,4.5,1525
108,서울,2022-01-08,0.3,-5,729,3.7,1623
108,서울,2022-01-09,1.3,-1.2,2353,5.6,1522
108,서울,2022-01-10,0.5,-3.4,735,4.4,1348
108,서울,2022-01-11,-7.4,-10.3,2326,0.3,1
108,서울,2022-01-12,-7.7,-11.3,223,-3.4,1521
108,서울,2022-01-13,-6.4,-8.9,2352,-3.1,1456
108,서울,2022-01-14,-4.8,-10.1,750,1.3,1526
108,서울,2022-01-15,-1,-5.3,426,1.8,1545
108,서울,2022-01-16,-2,-7.2,2352,2.4,208
108,서울,2022-01-17,-5.8,-9.2,518,0.1,1317
108,서울,2022-01-18,-5.6,-9.9,744,-0.7,1514
108,서울,2022-01-19,-5.3,-7.7,2357,-2.7,1558
108,서울,2022-01-20,-5,-9.8,605,0.9,1603
108,서울,2022-01-21,-2.7,-8.7,755,4.6,1534
108,서울,2022-01-22,0.3,-5,734,7.1,1512
108,서울,2022-01-23,2,-0.6,549,6.7,1411
108,서울,2022-01-24,4.6,1.3,1,8.4,1329
108,서울,2022-01-25,2.8,1.9,822,4.5,1
108,서울,2022-01-26,1.3,-1.9,639,6.8,1429
108,서울,2022-01-27,-1.1,-4.6,757,4,1541
108,서울,2022-01-28,-2.7,-5.9,811,2.1,1516
108,서울,2022-01-29,-3.6,-7.2,741,0.9,1531
108,서울,2022-01-30,-2.8,-8,713,2.4,1629
108,서울,2022-01-31,-0.7,-6.8,736,4.8,1507
108,서울,2022-02-01,-1.3,-2.7,2345,0.9,1601
108,서울,2022-02-02,-3.4,-6,541,0,1529
108,서울,2022-02-03,-3.4,-6.9,746,0.4,1458
108,서울,2022-02-04,-5.2,-8.2,2356,-0.7,1404
108,서울,2022-02-05,-6.6,-9.7,742,-2,1508
108,서울,2022-02-06,-3.9,-8.4,500,1.7,1537
108,서울,2022-02-07,-2.5,-7.3,510,1.9,1259
108,서울,2022-02-08,-0.1,-4.1,629,5.6,1555
108,서울,2022-02-09,1,-4.3,757,7.2,1400
108,서울,2022-02-10,1.4,-3.2,707,6.7,1544
108,서울,2022-02-11,2.9,-2.6,740,8.8,1449
108,서울,2022-02-12,4.8,-0.1,727,10.4,1605
108,서울,2022-02-13,4.8,1.6,330,9.5,1616
108,서울,2022-02-14,2.5,-1.3,2352,8.1,1248
108,서울,2022-02-15,-4.7,-7.7,2321,-1.3,1
108,서울,2022-02-16,-7.3,-9.6,2400,-4.1,1526
108,서울,2022-02-17,-6.2,-10.7,752,-0.5,1554
108,서울,2022-02-18,-1.2,-8,716,5.7,1531
108,서울,2022-02-19,-1.7,-6.2,2345,3.7,1403
108,서울,2022-02-20,-4.8,-8.4,703,-0.5,1548
108,서울,2022-02-21,-3,-8.1,623,3.6,1415
108,서울,2022-02-22,-4.5,-8,2400,0.5,1438
108,서울,2022-02-23,-5.6,-10,721,-0.6,1623
108,서울,2022-02-24,-2.4,-8.5,508,3.7,1454
108,서울,2022-02-25,3,-3.6,716,8.4,1537
108,서울,2022-02-26,5.4,1,2355,9.3,1313
108,서울,2022-02-27,3.7,-1.6,730,9.1,1513
108,서울,2022-02-28,6.8,2.7,48,11.5,1626
108,서울,2022-03-01,5.8,0.3,2355,9.7,1616
108,서울,2022-03-02,3.5,-2.3,611,8.8,1256
108,서울,2022-03-03,5.8,0.9,720,12.4,1413
108,서울,2022-03-04,6.9,0.6,652,14.6,1338
108,서울,2022-03-05,2.3,-0.7,2341,6.7,1600
108,서울,2022-03-06,1.4,-3,629,6.8,1603
108,서울,2022-03-07,2.8,-2.7,703,8.7,1505
108,서울,2022-03-08,6,1.1,307,12.3,1455
108,서울,2022-03-09,7.1,1.7,706,14.8,1520
108,서울,2022-03-10,9.3,4.2,658,15.8,1534
108,서울,2022-03-11,11.2,5.1,641,18.4,1544
108,서울,2022-03-12,12.8,6.3,632,19.5,1408
108,서울,2022-03-13,11.7,10.7,111,12.6,1
108,서울,2022-03-14,8.2,4.9,2350,13.2,1205
108,서울,2022-03-15,7.2,2.3,702,13.3,1538
108,서울,2022-03-16,10.3,3.6,703,16.8,1513
108,서울,2022-03-17,10.7,7.8,2333,15.1,1413
108,서울,2022-03-18,7.5,5.5,2356,9.6,1246
108,서울,2022-03-19,3.4,0.9,721,6.1,1557
108,서울,2022-03-20,5.4,2.2,2400,9.3,1556
108,서울,2022-03-21,5,-0.3,640,10.9,1355
108,서울,2022-03-22,7.1,1.1,637,13.6,1617
108,서울,2022-03-23,6.2,4.9,616,8.2,1615
108,서울,2022-03-24,8.2,3.9,453,12.4,1459
108,서울,2022-03-25,12,6.3,559,17.2,1549
108,서울,2022-03-26,11.8,9.5,959,14.7,1735
108,서울,2022-03-27,8.1,5,2354,12.6,1432
108,서울,2022-03-28,8.2,1.5,611,15.1,1600
108,서울,2022-03-29,9.7,3.3,533,15.6,1545
108,서울,2022-03-30,10.8,5.9,629,15.7,1209
108,서울,2022-03-31,10.9,7.6,2352,14.7,1421
108,서울,2022-04-01,9.2,4.5,620,14.9,1347
108,서울,2022-04-02,8.2,3.7,618,14.2,1444
108,서울,2022-04-03,9.6,3.5,629,17,1527
108,서울,2022-04-04,10.3,5.1,638,16.4,1328
108,서울,2022-04-05,10.3,4.9,615,15.8,1409
108,서울,2022-04-06,11.7,8,600,17,1431
108,서울,2022-04-07,10.9,7.4,2359,15.7,1310
108,서울,2022-04-08,12.9,5.1,612,20,1521
108,서울,2022-04-09,17.8,12.4,751,24.2,1418
108,서울,2022-04-10,18.2,12.7,614,25.1,1501
108,서울,2022-04-11,19.6,13.4,556,26.6,1529
108,서울,2022-04-12,19.3,15.9,2358,26.4,1449
108,서울,2022-04-13,13.1,12,2135,15.9,1
108,서울,2022-04-14,13.2,11.4,2335,15.3,1411
108,서울,2022-04-15,13.3,7.5,627,19.3,1602
108,서울,2022-04-16,13.2,7.1,557,20.2,1513
108,서울,2022-04-17,14,7.2,559,21.9,1418
108,서울,2022-04-18,15.2,11.4,309,21.6,1427
108,서울,2022-04-19,15.2,8.9,614,22.1,1357
108,서울,2022-04-20,15.7,9.7,610,22.1,1357
108,서울,2022-04-21,16.3,9.6,543,22.7,1343
108,서울,2022-04-22,15,13.2,2349,16.8,929
108,서울,2022-04-23,17.7,10.4,539,25.3,1555
108,서울,2022-04-24,18.5,15,608,24.5,1418
108,서울,2022-04-25,20,17,1,23.6,1606
108,서울,2022-04-26,21.9,17,437,28.7,1451
108,서울,2022-04-27,17.7,12.6,528,23.9,1551
108,서울,2022-04-28,18.2,11.6,603,25.9,1432
108,서울,2022-04-29,13.4,10.7,619,16.5,1236
108,서울,2022-04-30,13,10.5,143,17.8,1326
108,서울,2022-05-01,13.4,7.9,514,19.2,1512
108,서울,2022-05-02,14.2,9.1,538,19.4,1508
108,서울,2022-05-03,14.8,9.1,606,20.8,1535
108,서울,2022-05-04,17.8,10,620,25.2,1348
108,서울,2022-05-05,18.9,12.5,557,25.8,1501
108,서울,2022-05-06,19.6,13.7,530,25.6,1345
108,서울,2022-05-07,18.4,15.3,754,23.1,1319
108,서울,2022-05-08,15.3,11.7,2344,18.2,1230
108,서울,2022-05-09,17.9,11,613,25.3,1620
108,서울,2022-05-10,19.9,13.6,547,26.3,1529
108,서울,2022-05-11,19.7,16.6,2353,25.2,1508
108,서울,2022-05-12,20.9,14.1,607,28.1,1540
108,서울,2022-05-13,19.4,15,2358,25.2,1355
108,서울,2022-05-14,15.7,11.9,545,20,1342
108,서울,2022-05-15,16.2,10.5,516,22.4,1509
108,서울,2022-05-16,17.3,10.9,537,23.7,1352
108,서울,2022-05-17,20,13,551,27.4,1527
108,서울,2022-05-18,20,15.7,442,25.4,1404
108,서울,2022-05-19,19.9,16.1,614,24.2,1406
108,서울,2022-05-20,20.6,15.6,543,25.8,1322
108,서울,2022-05-21,20.1,16.1,2349,26,1420
108,서울,2022-05-22,20.3,15.7,315,25.8,1450
108,서울,2022-05-23,23,17.8,108,30.7,1513
108,서울,2022-05-24,22.9,16.7,528,30.2,1450
108,서울,2022-05-25,21,16.7,2400,26.7,1211
108,서울,2022-05-26,18.7,14.1,540,23.5,1513
108,서울,2022-05-27,20,16,601,25.6,1552
108,서울,2022-05-28,22.3,15,439,29.3,1426
108,서울,2022-05-29,23.1,19.3,446,29.7,1648
108,서울,2022-05-30,20.8,17.2,2335,24.7,1237
108,서울,2022-05-31,20.7,14.2,525,27.2,1428
108,서울,2022-06-01,22.1,16.2,547,28.6,1415
108,서울,2022-06-02,21.5,17.1,150,26.9,1324
108,서울,2022-06-03,24.5,18.7,23,32.6,1506
108,서울,2022-06-04,25.6,20.3,546,29.7,1724
108,서울,2022-06-05,22.7,20.2,2132,27,1142
108,서울,2022-06-06,19.7,16.7,2323,24.5,1517
108,서울,2022-06-07,20.6,15.1,550,25.1,1236
108,서울,2022-06-08,21.2,16.2,541,25.8,1449
108,서울,2022-06-09,20.9,18.5,517,24.5,1620
108,서울,2022-06-10,20.9,17.2,534,26.6,1128
108,서울,2022-06-11,24.6,17.7,527,32.7,1629
108,서울,2022-06-12,24.6,18.9,525,31.5,1520
108,서울,2022-06-13,23.6,19.6,513,29.2,1234
108,서울,2022-06-14,21.5,17.7,2357,27.1,1245
108,서울,2022-06-15,17.5,14.9,603,20.1,1921
108,서울,2022-06-16,20.3,17.6,619,24.8,1737
108,서울,2022-06-17,22.5,16.5,533,28.1,1413
108,서울,2022-06-18,23.3,22,538,25.1,1722
108,서울,2022-06-19,23.4,22.3,303,25.1,1719
108,서울,2022-06-20,25.2,22,543,29,1611
108,서울,2022-06-21,26.5,21.2,553,32.6,1539
108,서울,2022-06-22,25.9,21.9,344,31,1542
108,서울,2022-06-23,24.3,23.3,2216,26.4,1130
108,서울,2022-06-24,22.6,20.6,617,24.9,1805
108,서울,2022-06-25,26,21.5,221,30.5,1512
108,서울,2022-06-26,26.5,24.8,234,28.1,1500
108,서울,2022-06-27,26.8,25.4,454,28.1,1107
108,서울,2022-06-28,26.9,25.7,2337,27.9,1001
108,서울,2022-06-29,25.1,24.4,2134,26.1,1733
108,서울,2022-06-30,22.3,21.2,1739,24.5,1
108,서울,2022-07-01,26.6,21.9,1,30.9,1536
108,서울,2022-07-02,28.8,24,521,33.8,1601
108,서울,2022-07-03,29.3,24.4,612,34.2,1522
108,서울,2022-07-04,29.3,26.4,524,32.6,1621
108,서울,2022-07-05,29.2,26.7,459,33.1,1545
108,서울,2022-07-06,29.5,26.2,502,33.3,1645
108,서울,2022-07-07,28.2,26.4,439,31,1608
108,서울,2022-07-08,25.8,24,2357,27.9,1647
108,서울,2022-07-09,26.9,24,1,30.9,1416
108,서울,2022-07-10,29.2,24.6,529,35.1,1547
108,서울,2022-07-11,27,24.7,316,30.6,1226
108,서울,2022-07-12,26.8,23.2,508,29.4,1402
108,서울,2022-07-13,25,24,1253,27.1,1
108,서울,2022-07-14,25.7,23.3,405,29.9,1533
108,서울,2022-07-15,26,23,440,30.3,1544
108,서울,2022-07-16,24.8,23.2,2354,28.2,1323
108,서울,2022-07-17,25.5,22.5,406,29.7,1518
108,서울,2022-07-18,26.8,23.1,530,30.1,1258
108,서울,2022-07-19,27.4,24.3,532,31.1,1549
108,서울,2022-07-20,27.1,24.3,2400,30.4,1435
108,서울,2022-07-21,23.2,20.8,622,25.2,1840
108,서울,2022-07-22,25.1,22.9,507,27.5,1718
108,서울,2022-07-23,24.8,22.3,2320,28,1344
108,서울,2022-07-24,25,22,118,28.4,1627
108,서울,2022-07-25,27.5,23.6,546,32,1616
108,서울,2022-07-26,28.9,24.4,530,33.1,1428
108,서울,2022-07-27,29.3,26.4,547,33.4,1509
108,서울,2022-07-28,29.7,25.1,545,34.4,1509
108,서울,2022-07-29,30.7,27.3,511,34.3,1419
108,서울,2022-07-30,30.9,27.3,532,36.1,1440
108,서울,2022-07-31,27.2,25.4,2327,29,1
108,서울,2022-08-01,28.6,25.4,4,32.4,1420
108,서울,2022-08-02,26.8,25.5,2257,28.5,1
108,서울,2022-08-03,27.1,25.2,457,30,1600
108,서울,2022-08-04,28.9,26,549,32.9,1532
108,서울,2022-08-05,29.4,27,111,32.7,1430
108,서울,2022-08-06,28.7,27.4,454,30.3,1718
108,서울,2022-08-07,28.9,27.2,354,31.7,1421
108,서울,2022-08-08,26.8,,,28.4,1
108,서울,2022-08-09,25.1,22,2354,26.5,1538
108,서울,2022-08-10,24.7,21.4,455,28.8,1503
108,서울,2022-08-11,25,23.4,528,27.5,1502
108,서울,2022-08-12,27,23,614,32.4,1557
108,서울,2022-08-13,25.8,24.7,1305,27.5,1743
108,서울,2022-08-14,27.6,24.5,553,31.5,1414
108,서울,2022-08-15,28.1,26.6,2357,29.8,1233
108,서울,2022-08-16,26.7,24.1,652,30,1531
108,서울,2022-08-17,26,22.8,618,30.5,1338
108,서울,2022-08-18,25.6,22.4,556,29.8,1408
108,서울,2022-08-19,26,23.3,355,27.5,1527
108,서울,2022-08-20,28.2,25.7,628,32,1437
108,서울,2022-08-21,28.1,24.7,634,32,1549
108,서울,2022-08-22,26.8,22.9,2302,30.2,1356
108,서울,2022-08-23,25.4,22.4,513,30.2,1533
108,서울,2022-08-24,24.8,22.4,500,27.9,1145
108,서울,2022-08-25,22.2,21.1,2322,24,1054
108,서울,2022-08-26,23.8,19.9,626,28.4,1512
108,서울,2022-08-27,21.5,17.6,638,25.5,1541
108,서울,2022-08-28,22.6,16.1,538,28.4,1644
108,서울,2022-08-29,21,19.5,940,22.5,1
108,서울,2022-08-30,19.1,17.9,527,20.3,1
108,서울,2022-08-31,21.7,19.6,32,24.9,1703
108,서울,2022-09-01,24,18.3,614,30.4,1553
108,서울,2022-09-02,24.7,20.3,648,29.8,1540
108,서울,2022-09-03,24.2,20.5,630,29.2,1456
108,서울,2022-09-04,22.3,19.8,632,24,1905
108,서울,2022-09-05,19.2,17.7,2103,22.7,1
108,서울,2022-09-06,21,17,254,26.3,1601
108,서울,2022-09-07,22.8,17.9,701,28.1,1511
108,서울,2022-09-08,23.2,16.7,635,29.5,1555
108,서울,2022-09-09,24.3,18.9,620,30.8,1526
108,서울,2022-09-10,23.6,19,646,28.4,1636
108,서울,2022-09-11,23.3,20.6,638,26.4,1331
108,서울,2022-09-12,23.8,20.3,558,27.5,1541
108,서울,2022-09-13,24.3,21.8,626,26.4,1341
108,서울,2022-09-14,24.6,22.7,2334,27.9,1410
108,서울,2022-09-15,25.2,22,504,28.3,1539
108,서울,2022-09-16,25.7,23.4,605,29.9,1326
108,서울,2022-09-17,25.6,23.3,537,29.4,1619
108,서울,2022-09-18,27.1,23,616,32.5,1551
108,서울,2022-09-19,24.6,19.5,2359,29.6,1306
108,서울,2022-09-20,19.9,16.1,631,24.6,1506
108,서울,2022-09-21,19.4,13,626,25.6,1449
108,서울,2022-09-22,19.8,14.2,635,24.7,1454
108,서울,2022-09-23,17.5,14.7,2354,22.2,1026
108,서울,2022-09-24,18.5,12.3,645,24.2,1503
108,서울,2022-09-25,19.6,15.4,553,25.2,1450
108,서울,2022-09-26,20,14.8,642,25.4,1456
108,서울,2022-09-27,20.9,14,642,28,1535
108,서울,2022-09-28,20.4,16.1,630,26.1,1617
108,서울,2022-09-29,20.4,16.4,612,26.5,1612
108,서울,2022-09-30,20.7,14.8,705,27.7,1522
108,서울,2022-10-01,20.9,14.4,641,27.6,1357
108,서울,2022-10-02,19.4,17.2,2232,21.6,1321
108,서울,2022-10-03,21.4,17.5,1,23.4,2004
108,서울,2022-10-04,17.9,14.2,2329,23,1
108,서울,2022-10-05,16.6,14.1,34,21.6,1519
108,서울,2022-10-06,15.8,12.7,640,19.1,1419
108,서울,2022-10-07,14.3,11,651,18.6,1522
108,서울,2022-10-08,15.8,11.1,654,21.6,1508
108,서울,2022-10-09,13.1,10.7,2221,14.5,117
108,서울,2022-10-10,9.9,8.2,2034,11.9,1408
108,서울,2022-10-11,11.1,7.4,250,16.4,1531
108,서울,2022-10-12,13.5,6.5,645,20.6,1513
108,서울,2022-10-13,16.3,10.7,639,22.7,1435
108,서울,2022-10-14,17.1,12.4,529,23,1454
108,서울,2022-10-15,18.2,12.6,653,24.4,1505
108,서울,2022-10-16,16.9,15.1,2400,20.5,1202
108,서울,2022-10-17,11.2,7.4,2344,15.1,1
108,서울,2022-10-18,9.4,5,657,14.2,1451
108,서울,2022-10-19,10.5,4.4,654,16.8,1510
108,서울,2022-10-20,12.9,6,711,19.7,1500
108,서울,2022-10-21,14,8.8,707,20.9,1431
108,서울,2022-10-22,15.1,10.5,724,20.8,1412
108,서울,2022-10-23,14,10.4,2356,18.6,1459
108,서울,2022-10-24,10.6,7.5,2356,14.8,1521
108,서울,2022-10-25,11.3,5.9,531,17.6,1535
108,서울,2022-10-26,12.9,8,653,17.8,1350
108,서울,2022-10-27,13.2,8.6,701,18.9,1414
108,서울,2022-10-28,13.6,8.2,636,20.6,1525
108,서울,2022-10-29,14.8,10.2,709,21.3,1507
108,서울,2022-10-30,14.9,10.4,702,21.3,1503
108,서울,2022-10-31,14.9,11.2,710,21.1,1406
108,서울,2022-11-01,13.1,9.4,2355,17.8,1511
108,서울,2022-11-02,11.1,5.5,715,17.9,1431
108,서울,2022-11-03,9.3,5.6,2356,13.4,1242
108,서울,2022-11-04,4.9,1.6,709,9.8,1440
108,서울,2022-11-05,6.5,0.8,721,13.6,1522
108,서울,2022-11-06,9.6,3.7,730,16.4,1359
108,서울,2022-11-07,11.4,6.1,546,16.6,1432
108,서울,2022-11-08,12.9,9.7,739,17.9,1414
108,서울,2022-11-09,11.4,6.7,718,16,1404
108,서울,2022-11-10,13.5,8.8,641,19.1,1408
108,서울,2022-11-11,15.6,10.9,434,22.1,1538
108,서울,2022-11-12,16.3,11.6,501,22,1318
108,서울,2022-11-13,10.3,8.7,2357,17.3,1
108,서울,2022-11-14,9.7,5.9,2356,13.8,1305
108,서울,2022-11-15,8.1,4,658,12.3,1341
108,서울,2022-11-16,8.5,5.5,703,13,1431
108,서울,2022-11-17,10.2,5.4,722,16.6,1436
108,서울,2022-11-18,11,5.3,749,18.1,1502
108,서울,2022-11-19,12.9,8.7,111,19.2,1507
108,서울,2022-11-20,13.7,9.5,725,20.2,1332
108,서울,2022-11-21,11.8,9.3,711,16.2,1132
108,서울,2022-11-22,10.7,7,651,13.7,1414
108,서울,2022-11-23,10.8,6.8,2343,15.2,1322
108,서울,2022-11-24,9.4,5.9,235,14.1,1519
108,서울,2022-11-25,12.3,7.1,253,17.8,1501
108,서울,2022-11-26,6.7,1,2341,12.9,1
108,서울,2022-11-27,5.4,-1.1,530,11.5,1521
108,서울,2022-11-28,12.3,7.5,1,15,1311
108,서울,2022-11-29,6.9,-1.6,2352,15,1
108,서울,2022-11-30,-5.4,-8.1,2328,-1.6,1
108,서울,2022-12-01,-5.4,-9.4,752,-1.2,1542
108,서울,2022-12-02,-2.5,-7.6,759,3,1446
108,서울,2022-12-03,2.1,-0.3,1,7,1431
108,서울,2022-12-04,-3.5,-5.2,2400,-0.2,1
108,서울,2022-12-05,-3.1,-7,755,1.9,1458
108,서울,2022-12-06,0.9,-3.9,243,5.3,1400
108,서울,2022-12-07,4.9,1.2,805,9,1520
108,서울,2022-12-08,3.7,0.1,742,9.1,1251
108,서울,2022-12-09,4.5,0.9,345,10.2,1345
108,서울,2022-12-10,2.6,-0.6,758,6.7,1306
108,서울,2022-12-11,1.6,-1.5,645,6.8,1412
108,서울,2022-12-12,2,-2,345,6.3,1408
108,서울,2022-12-13,0,-6.4,2356,3.1,233
108,서울,2022-12-14,-8.4,-11,742,-4.9,1451
108,서울,2022-12-15,-4.5,-8.5,1,-1.3,1752
108,서울,2022-12-16,-6.3,-9.6,635,-2.2,1303
108,서울,2022-12-17,-7,-9.8,2322,-3.2,1245
108,서울,2022-12-18,-9.5,-12.4,740,-5.6,1440
108,서울,2022-12-19,-7,-12,357,-2.5,1426
108,서울,2022-12-20,-3.2,-9.5,717,2.9,1440
108,서울,2022-12-21,-0.1,-2.6,2347,2.6,1559
108,서울,2022-12-22,-7.8,-11.3,2355,-2.6,1
108,서울,2022-12-23,-11.8,-13.7,619,-8.6,1514
108,서울,2022-12-24,-8.4,-13.5,743,-2,1619
108,서울,2022-12-25,-5.4,-9.6,611,0.2,1532
108,서울,2022-12-26,-3.9,-7.9,730,1.7,1532
108,서울,2022-12-27,-2.6,-7.3,720,3.3,1515
108,서울,2022-12-28,-3.3,-6,2355,0.1,1453
108,서울,2022-12-29,-2.9,-7.8,728,2.1,1522
108,서울,2022-12-30,-1.8,-4.4,2355,2.3,1354
108,서울,2022-12-31,-1.2,-5.1,125,2.1,1530
